                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.931,                 13.217,                 3.1028,                      0,                      0,                      0,                      0,                 4.7111,                 9.7878,                 3.4078,                 0.0001,                 0.0001,                 0.0001
                      2,                 4.5487,                 11.296,                 2.9248,                0.00154,                0.17949,                0.00169,                 0.0005,                 3.6773,                 15.773,                 2.1253,             0.00021891,             0.00021891,             0.00021891
                      3,                 3.5473,                 7.2759,                 1.9695,                0.00154,                0.17949,                0.00169,                 0.0005,                 3.3023,                 16.735,                 2.1094,             0.00033663,             0.00033663,             0.00033663
                      4,                  2.813,                 3.4907,                 1.6487,                0.00516,                0.17949,                0.00267,                0.00095,                 3.0417,                    inf,                 2.0982,             0.00045317,             0.00045317,             0.00045317
                      5,                 2.6814,                 2.2965,                 1.5689,                0.00088,                0.07692,                0.00052,                0.00016,                 4.5706,                    inf,                 4.0479,             0.00056852,             0.00056852,             0.00056852
                      6,                 2.6697,                 2.3783,                 1.5349,                0.00295,                0.17949,                0.00231,                0.00075,                  3.001,                    nan,                 1.9137,             0.00068267,             0.00068267,             0.00068267
                      7,                 2.5071,                 2.1104,                 1.4419,                0.00295,                0.17949,                0.00231,                0.00075,                    nan,                    nan,                    nan,             0.00079565,             0.00079565,             0.00079565
                      8,                 2.4594,                 1.8736,                 1.4654,                0.00295,                0.17949,                0.00231,                0.00075,                    nan,                    nan,                    nan,             0.00090743,             0.00090743,             0.00090743
                      9,                 2.4081,                 1.9167,                 1.4335,                0.00295,                0.17949,                0.00231,                0.00075,                 3.7052,                    inf,                 20.588,               0.001018,               0.001018,               0.001018
                     10,                 2.5038,                 1.8656,                 1.4495,                0.00295,                0.17949,                0.00231,                0.00075,                 6.2449,                    inf,                 1356.5,              0.0011274,              0.0011274,              0.0011274
                     11,                 2.4772,                 1.7112,                 1.4772,                0.00295,                0.17949,                0.00231,                0.00075,                 6.1097,                    inf,                 512.57,              0.0012357,              0.0012357,              0.0012357
